Date,Description,Debit,Credit,Balance
01-01-2024,UPI-SWIGGY-123456,350.00,0.00,50000.00
05-01-2024,NETFLIX MUMBAI,649.00,0.00,49351.00
10-01-2024,Spotify India,119.00,0.00,49232.00
15-01-2024,AMAZON PAY INDIA,149.00,0.00,49083.00
20-01-2024,UPI-KIRANA-STORE,50.00,0.00,49033.00
01-02-2024,UPI-SWIGGY-123456,420.00,0.00,55000.00
05-02-2024,NETFLIX MUMBAI,649.00,0.00,54351.00
10-02-2024,Spotify India,119.00,0.00,54232.00
15-02-2024,AMAZON PAY INDIA,149.00,0.00,54083.00
25-02-2024,UPI-PETROL-PUMP,500.00,0.00,53583.00
05-03-2024,NETFLIX MUMBAI,649.00,0.00,60000.00
10-03-2024,Spotify India,119.00,0.00,59881.00
15-03-2024,AMAZON PAY INDIA,149.00,0.00,59732.00
